"STAID","N","N_qSC","DATE.B","DATE.E","Model","ALPHA","ECK.OHS.BETA","ECK.CaF.BETA","CS","CBmn","CBamp","sday","CBamp2","RMSE","NS","ACCEPT","Streamflow","BF_Fraction.ECK.CaF","BF_Fraction.ECK.OHS","Days.ECK.CaF","Days.ECK.OHS"
"'03403910'",13240,100,"7/1/1968","9/29/2015","'sin_cos'",0.967,0.2081,0.4036,256.7076,534.5448,68.938,"10/1/1970",68.1742,713.1401,0.6236,"Y",554.4882,0.35,0.2013,0.1191,0.0285
"'03408500'",28477,155,"9/1/1934","11/7/2017","'SCfit'",0.9636,0.9005,0.3104,117.1341,NA,NA,NA,NA,800.4586,0.5854,"Y",741.5083,0.2679,0.6822,0.1265,0.5105
"'03410210'",8287,294,"10/1/1983","11/7/2017","'SCfit'",0.965,0.973,0.3733,65,NA,NA,NA,NA,562.7709,0.4877,"Y",1483.2604,0.3223,0.8636,0.1251,0.5888
"'03413200'",15258,86,"10/1/1968","7/20/2017","'SCfit'",0.9537,0.195,0.3694,299.3848,NA,NA,NA,NA,683.7667,0.6869,"Y",60.57,0.3148,0.1872,0.1095,0.0264
"'03415000'",15906,34,"10/1/1942","2/13/2017","'SCfit'",0.9515,0.955,0.4346,188.8405,NA,NA,NA,NA,308.2104,0.7173,"Y",160.3047,0.3786,0.8355,0.113,0.5172
"'03416000'",20892,94,"10/1/1942","2/14/2017","'SCfit'",0.9646,0.4948,0.424,204.5919,NA,NA,NA,NA,310.8593,0.7483,"Y",185.0105,0.3672,0.4109,0.1003,0.1363
"'03431800'",13024,74,"10/1/1961","12/14/2017","'SCfit'",0.9631,0.7479,0.4298,185.2846,NA,NA,NA,NA,313.2238,0.45,"Y",145.5303,0.3678,0.5532,0.0843,0.2696
"'03436690'",10048,72,"10/1/1980","10/4/2017","'SCfit'",0.9833,0.9849,0.4743,80.7765,NA,NA,NA,NA,350.9632,0.4065,"Y",152.502,0.4118,0.8955,0.0857,0.5977
"'03436700'",8457,37,"10/1/1957","11/25/1980","'SCfit'",0.9831,0.6818,0.4793,205.3703,NA,NA,NA,NA,123.71,0.697,"Y",189.6027,0.4194,0.5355,0.0851,0.1745
"'03441000'",34477,11,"10/1/1920","12/19/2017","'SCfit'",0.9883,0.7973,0.6628,12.6233,NA,NA,NA,NA,7.6172,0.5676,"Y",128.5871,0.6222,0.7109,0.0997,0.2257
"'03454000'",13702,10,"4/1/1934","10/5/1971","'SCfit'",0.9879,0.8856,0.5218,33,NA,NA,NA,NA,7.8939,0.8681,"Y",183.1989,0.4663,0.6982,0.0801,0.3322
"'03455500'",23234,7,"3/1/1954","10/9/2017","'SCfit'",0.9889,0.3222,0.5335,12.2132,NA,NA,NA,NA,3.2368,0.8736,"Y",99.8656,0.4868,0.3176,0.0782,0.0122
"'03456500'",23297,10,"3/1/1954","12/12/2017","'SCfit'",0.9925,0.8512,0.4789,15.8784,NA,NA,NA,NA,3.4552,0.4288,"Y",140.5345,0.4302,0.6822,0.0652,0.3004
"'03460000'",26857,254,"4/1/1934","10/11/2017","'SCfit'",0.9923,0.4983,0.5681,13.2252,NA,NA,NA,NA,44.0376,0.3434,"Y",110.0663,0.5136,0.4632,0.0686,0.0462
"'03461200'",7762,48,"10/1/1966","12/31/1987","'SCfit'",0.9899,0.9961,0.425,11,NA,NA,NA,NA,29.823,0.3051,"Y",26.7545,0.3688,0.9553,0.0651,0.6497
"'03463300'",22050,9,"8/1/1957","12/13/2017","'SCfit'",0.9899,0.4051,0.4833,14.7942,NA,NA,NA,NA,3.5942,0.3612,"Y",142.3687,0.4357,0.3785,0.0718,0.0426
"'03465500'",35541,112,"9/1/1900","2/21/2017","'SCfit'",0.9856,0.9028,0.6099,46.5001,NA,NA,NA,NA,117.6273,0.6841,"Y",1374.6439,0.5589,0.764,0.0871,0.3515
