KGE,NSE,sitenum,summer_params,winter_params,spring_params,fall_params,NSE_pyr,KGE_pyr
0.8867436484739959,0.8019477469466252,11390000,"[0.310477788, -0.00598945986, 12.4666841]","[0.307046836, 0.00106050955, 3.62619131]","[0.471452203, -0.00442244469, 6.53433252]","[0.534326493, 0.000901215079, 2.27199367]","[0.939125339743436, 0.9584593975242718, 0.8535460936379637]","[0.9475418168115222, 0.9503654988695736, 0.83042452006189]"
0.8779049886358282,0.7786064693860193,11390500,"[0.145854436, -0.000240270321, 18.1562046]","[0.475650531, -5.49805868e-05, 6.17954139]","[0.347817459, -0.000239910752, 12.9052753]","[0.540015506, -5.50013432e-05, 6.15693119]","[0.9288410682223753, 0.95782395020172, 0.7570836872017579]","[0.9136690557671396, 0.9123847918809305, 0.7798614385928978]"
0.8783219818713601,0.7399818514564364,11446500,"[0.0789747416, -0.000754081271, 17.4227716]","[0.21607377, -7.68281785e-05, 7.34313975]","[0.228638305, -0.00022053734, 9.87958666]","[0.408829137, -0.00018042779, 9.50182061]","[0.8782080930459438, 0.9366425390475956, 0.5626604022564765]","[0.905704467185829, 0.9194896924699857, 0.7653069667636654]"
0.7422584000023599,0.5575961199108048,11523000,"[0.35541656, -0.000128306535, 14.0255239]","[0.319411078, 3.3665927e-05, 4.10006503]","[0.400020909, -0.000628174575, 12.4999131]","[0.545181411, 1.41442556e-05, 4.78929138]","[0.8575976063761505, 0.9583064159638224, 0.7856369656018458]","[0.7942313083684318, 0.9762974633922217, 0.8869656167402356]"
0.9044638384981794,0.8502057783348232,11530000,"[0.275140088, -0.000939084347, 15.4339383]","[0.176608941, 9.18700116e-05, 5.36214509]","[0.361243198, -0.000301750927, 9.5366905]","[0.48855237, 1.15820414e-06, 5.1325671]","[0.8992153790336386, 0.9313396521810774, 0.7895606975632918]","[0.9371881679022036, 0.9389909270825345, 0.7705685107248059]"
0.8845160614072177,0.8695032041978051,6711565,"[0.498265418, -0.000627725739, 10.1321137]","[0.364673585, 0.00260385288, 4.01332665]","[0.554785216, -0.00067645787, 7.26441033]","[0.48792482, 0.01094485, 3.95237708]","[0.950963416818682, 0.9512833700543478, 0.9094904325879836]","[0.946719839037435, 0.95415221400394, 0.8470220076316043]"
0.8669171923542782,0.8029249928251209,7106000,"[0.456577714, -2.20124461e-05, 10.4972785]","[0.370328, 0.01204108, 3.81577126]","[0.568932801, 0.00030660441, 6.98445442]","[0.52639632, 0.01079108, 4.02092577]","[0.9553356226021631, 0.9508529380398021, 0.8910071955115734]","[0.9573619511248161, 0.9223418560336769, 0.8551491264181921]"
0.8612939272711692,0.8649479186153595,7106500,"[0.551830542, -0.000290586469, 9.32227892]","[0.385736143, -0.00087233849, 4.24420559]","[0.607169498, -0.00144005307, 6.68153608]","[0.555093395, -0.00298369876, 4.93549594]","[0.9669799973241928, 0.9528381481084448, 0.912633974055079]","[0.9832832739573683, 0.9284469806888268, 0.8967583737634661]"
0.8944480043178282,0.8771705378412968,7109500,"[0.304431138, -0.00104967791, 15.5243204]","[0.33558931, 0.00503859, 3.64987001]","[0.419579684, -0.000604180169, 8.79687969]","[0.53292201, 0.00607102, 3.85774212]","[0.9336146233130095, 0.9458409452553276, 0.8705172971657182]","[0.9284158631087815, 0.9242819649599694, 0.7679274460004069]"
0.8169198209384614,0.8215627100231407,7124000,"[0.573261198, 0.000391914593, 9.23421062]","[0.4239895, -0.01012696, 5.72309014]","[0.572078759, 0.00169638769, 7.15243537]","[0.563296939, -0.00295451638, 4.88188319]","[0.9617038793269578, 0.9601472817891578, 0.9065187168212014]","[0.9510192812498532, 0.9392055058384046, 0.9160760698383069]"
0.7982520476235867,0.7911798736458577,7130500,"[0.430250107, 0.000281294747, 12.2346998]","[0.4099402, -0.00962779, 4.29896716]","[0.503406987, 0.00181944901, 6.22677518]","[0.47243474, 0.01298599, 4.26563888]","[0.934250831554271, 0.9550158580850121, 0.9246526390056062]","[0.9122183727240543, 0.9514797594345822, 0.9110151201408137]"
0.8737595852811764,0.882494917041635,9095500,"[0.533953472, -0.000338175104, 8.83455649]","[0.501771796, -0.000170020724, 3.36050225]","[0.480069196, -0.000181689207, 6.76143108]","[0.46921505, 0.00258117, -1.33022387]","[0.9305280828318024, 0.9719212713205858, 0.8690380251970217]","[0.8706921919947965, 0.9478897738193294, 0.7682274537847791]"
0.8642886700237762,0.8792972733976641,9105000,"[0.69644672, -0.00430027, 4.04297561]","[0.41360773, 0.00881729, 1.77392032]","[0.574365215, -0.00267785736, 4.23101315]","[0.4850592, 0.01710831, 1.2138876]","[0.9550643976209279, 0.9720032357926238, 0.8849977139378779]","[0.9311006067849192, 0.9430554425064437, 0.812179396027714]"
0.8632021718809471,0.882700496702978,9152500,"[0.474105428, -0.00115413883, 10.7456249]","[0.489456718, -0.00021930726, 3.67730702]","[0.556308048, -0.00053476597, 6.28312346]","[0.50179011, 0.00202324, 1.37451167]","[0.930100809449422, 0.9754654390676973, 0.8104779740957925]","[0.8623846728987017, 0.9560850850516139, 0.7405568053351553]"
0.8613402370230898,0.87102292250171,9163500,"[0.50779662, -0.000256875357, 10.2176828]","[0.527061847, -5.1765947e-05, 3.25299215]","[0.513646672, -0.000135426587, 6.94769427]","[0.54372409, 0.00118396, -0.16258866]","[0.9370002770962261, 0.9744366010079152, 0.8710631126057524]","[0.8790242659838242, 0.9517808589572979, 0.7748427355215992]"
0.8296379523460871,0.8362160189299375,9169500,"[0.64251555, -0.00126553845, 8.18552945]","[0.566373662, 0.00111107562, 2.4432722]","[0.608143437, -0.00427007607, 8.0159193]","[0.61361643, 0.02480956, 1.9578717]","[0.936699395901346, 0.9594900863858564, 0.8695319524301417]","[0.918606141892715, 0.942805544077645, 0.8155323504406865]"
0.8447352116580252,0.8538781195601624,9171100,"[0.666518425, -9.13529753e-05, 8.00574659]","[0.58956203, 0.000941445529, 3.44052933]","[0.586936816, -0.00410395495, 8.65913185]","[0.61726295, 0.01971553, 2.69748269]","[0.9469044272285398, 0.9591730468204265, 0.8777012722903019]","[0.9263103985279785, 0.9232462115651134, 0.834276284454014]"
0.8939145069102021,0.9089491744709756,9371492,"[0.61670075, 0.08447147, 5.08521076]","[0.3552701, -0.02704125, 1.83382782]","[0.50756414, 0.28874362, 4.59673884]","[0.33152626, 0.38480571, 1.08446116]","[0.9715862312147174, 0.9757750110611132, 0.95147281593231]","[0.9227248001391034, 0.9565678714408491, 0.9099634676023305]"
0.9485499650008656,0.8999202313109108,9371520,"[0.607100895, -0.000571356045, 6.93926312]","[0.53922249, 0.01003582, 3.85368313]","[0.510073977, 0.00481889775, 8.03849906]","[0.42573619, 0.04801542, 2.74418462]","[0.9634601378991514, 0.9238887527702531, 0.8575788440771948]","[0.9424847158644732, 0.8247098184600165, 0.7833480861300393]"
0.7673870200972711,0.6517424506039633,2298202,"[0.632428445, -0.000478535009, 12.0037016]","[0.443011286, -0.00115723971, 12.3059273]","[0.729333751, -0.000896057297, 9.30495006]","[0.588985953, 0.000963748037, 10.0742467]","[0.9289298319622562, 0.9231127874051324, 0.871651208428891]","[0.9637989197755471, 0.9562920813108525, 0.9322344200047099]"
0.7806349592663291,0.7077066155121755,2300021,"[0.577456957, -0.000683834343, 13.8617147]","[0.538335382, 0.00143207459, 10.5688379]","[0.768416721, -0.000844922279, 8.6014377]","[0.64624311, -0.000210268349, 9.74925167]","[0.9412557513851616, 0.9393436418556841, 0.8484454381791746]","[0.9573130722638242, 0.9629047693514029, 0.8031843943964542]"
0.7652350883033647,0.6989329343135214,2301719,"[0.553560341, -0.0012883294, 14.5909731]","[0.397425065, 0.000191514564, 12.3454126]","[0.748175614, -0.00156242625, 8.54011014]","[0.61554533, 3.58607979e-05, 9.96796137]","[0.9288491231658135, 0.9282006943959699, 0.834133277646194]","[0.924697853938201, 0.9551217511233141, 0.81318876379239]"
0.1845439702832518,-1.0045008547732208,2304510,"[0.489636504, 0.000591972096, 14.5679108]","[0.3342792, -0.02299803, 15.0198047]","[0.525574241, -0.000518807697, 12.6520732]","[0.42368816, 0.02605313, 14.04548881]","[0.782954910886742, 0.9134626961415591, 0.5928049963968238]","[0.7758443652618148, 0.9396426388074488, 0.6237605286101446]"
0.7068821707786228,0.4588109791673903,2310650,"[0.110049955, -0.00214200285, 21.0203228]","[0.10723182, -0.000265856991, 20.5955268]","[0.121263066, -0.00044833849, 20.7079575]","[0.115487376, 0.00390345422, 20.1166102]","[0.9473528537780416, 0.9446353085848352, 0.8969338457816051]","[0.9730406921998567, 0.9733812892120617, 0.9363313868511356]"
0.7493466282716941,0.6428453485565631,2310700,"[0.725132686, -0.00132519973, 9.08171941]","[0.408712971, -0.000797555348, 13.3722326]","[0.703768004, 0.000144370582, 9.81741905]","[0.553265982, 0.00134706422, 10.8912302]","[0.9388979583814493, 0.9466934187738005, 0.872301276554434]","[0.9634489555848008, 0.9585707352866748, 0.9321142325533893]"
0.7861662526522761,0.684026527267157,2310747,"[0.661559303, 0.000141976751, 10.119777]","[0.368189997, 0.000200893228, 13.6153365]","[0.658828987, 0.000237002581, 10.2223677]","[0.494522692, 0.000360284039, 12.1289957]","[0.936645076599217, 0.9435656152136209, 0.8921773383491424]","[0.966551700168645, 0.9350343702501767, 0.9389360473070999]"
0.1235239996742091,-2.0958825788282653,2323592,"[0.550031925, -0.00010808881, 13.6487631]","[0.336839731, -0.000180717557, 14.1298075]","[0.564419444, -0.000190166838, 13.4062928]","[0.421158829, 1.15198723e-06, 13.2906174]","[0.8795218203887613, 0.8561183391390396, -0.45573692438122215]","[0.9337035752797909, 0.8274567968856685, 0.25209277122949514]"
0.8599103212186527,0.8234632936961377,2203655,"[0.580724445, 0.00213642826, 8.85220478]","[0.523156173, 0.00162379383, 5.17341083]","[0.612708237, 0.00092546158, 7.15031086]","[0.570111402, 0.0027972992, 5.47322767]","[0.9674282162194742, 0.968675418658794, 0.9282556358890801]","[0.9486607689947839, 0.9661128298898969, 0.9434067001329415]"
0.860279175577408,0.819778322662849,2203700,"[0.602938716, -0.00604557244, 8.9498085]","[0.51404522, 0.00663207, 5.83806766]","[0.613721455, -0.00261380556, 7.73217414]","[0.55757027, 0.01227641, 6.16024231]","[0.967239185896336, 0.966389482372419, 0.9243165672373859]","[0.9574654669475302, 0.9739634629369218, 0.9298312309290246]"
0.8664147466853933,0.82638835875164,2207120,"[0.6145105, -0.000557605437, 9.25128086]","[0.48627064, 0.000415124295, 5.71030536]","[0.628436507, -0.00107283765, 7.79333691]","[0.557382785, 0.000454369723, 6.37416721]","[0.9613833821721556, 0.9646228273169294, 0.9179068094126991]","[0.9572790166853165, 0.9761082738366852, 0.9115430296660113]"
0.86079855078551,0.8113832244050315,2207185,"[0.52035027, 0.01647154, 9.43467973]","[0.48692919, 0.0092207, 5.73937587]","[0.527148228, 0.00351031531, 8.34879447]","[0.5367185, 0.0179428, 5.94321327]","[0.9673303873650703, 0.9681722704439759, 0.9165822655686723]","[0.9584035145130843, 0.9536907362730264, 0.9104595389651272]"
0.8564766982276755,0.8138597569667292,2207385,"[0.52270644, 0.00963313, 9.31763048]","[0.450810511, 0.000999923445, 6.59289033]","[0.530786055, 0.00177737682, 8.0215304]","[0.5232179, 0.00740414, 6.47356525]","[0.9673267964477277, 0.9716278503769286, 0.9301208253757833]","[0.9467246992851999, 0.9598171845094488, 0.9372046165418674]"
0.8672135480255935,0.8176028329110451,2207400,"[0.52677904, 0.03730326, 9.45344415]","[0.48356763, 0.00693954, 6.16123546]","[0.54006327, 0.01160404, 8.48283043]","[0.54403888, 0.01256859, 6.1506549]","[0.9676908463137646, 0.9665322651039858, 0.9169178524771173]","[0.9519910470563677, 0.946188937561954, 0.9204621126274872]"
0.8659712485711901,0.8222842013843673,2208150,"[0.561991064, 0.000583471011, 8.97695013]","[0.497115796, 0.00274316622, 5.24277945]","[0.575809986, -0.00114529913, 7.59866116]","[0.553332707, 0.00397866516, 5.49383556]","[0.9676321972132051, 0.9670626627505244, 0.9265558287900606]","[0.9510213726974037, 0.9592444813068632, 0.9365126614935977]"
0.8655525150291422,0.8142285388049693,2217274,"[0.46702181, 0.06650549, 9.86764081]","[0.45617054, 0.02242763, 5.98834281]","[0.50296236, 0.00876298, 7.50099661]","[0.51848925, 0.08178204, 6.04224104]","[0.9701111146125796, 0.9698291181469496, 0.9284362599640259]","[0.9468178254148498, 0.943682252889729, 0.9145735834735139]"
0.856754948710069,0.8222686414809737,2218565,"[0.531102369, 0.00644085158, 9.10256796]","[0.49042011, 0.01197044, 5.67195112]","[0.553213745, 0.00374683047, 7.40447863]","[0.536671, 0.01838417, 5.89944123]","[0.9690139332254194, 0.9706737199450424, 0.9278459380791935]","[0.9514593951014516, 0.9595422795557935, 0.9223792352969766]"
0.8459481762177314,0.7837397595646594,2330450,"[0.485616995, -0.00390672583, 9.8181954]","[0.3949125, 0.0049279, 4.49569883]","[0.494320616, -0.00698110281, 8.03777129]","[0.53604181, 0.00263352442, 5.40805055]","[0.9652288197385023, 0.9736490344931987, 0.9208685921593451]","[0.980836042114015, 0.9866583420856672, 0.9018193945975275]"
0.6849842701915636,0.1077354491267327,2334430,"[-0.0879452853, 0.000334348301, 12.3800546]","[0.0292151402, -0.000224613861, 8.43265813]","[0.0429600816, 5.80456499e-05, 8.5386145]","[0.0486860685, 0.000211013746, 10.8962716]","[0.06596825413611196, 0.8498899622995845, 0.21005085028689563]","[0.8601011981886199, 0.9144019865169701, 0.6275186823546801]"
0.8689589506350182,0.8262683454482997,2334480,"[0.503911929, 0.00722352767, 9.55970166]","[0.46024221, 0.01118618, 5.53867914]","[0.541611329, -0.00129908807, 7.30392117]","[0.54167747, 0.00940109, 5.96006137]","[0.9693437451224597, 0.971175442651544, 0.9324030858994607]","[0.9501919445665661, 0.9523910320001471, 0.9345064492687556]"
0.8716537297019962,0.8198675992954165,2334578,"[0.48361262, 0.01083469, 9.71164492]","[0.44373131, 0.00857195, 5.9825873]","[0.521408216, 0.00318995112, 7.48441612]","[0.50788034, 0.0115018, 6.36207276]","[0.9688776881661795, 0.968944013654286, 0.931648364890047]","[0.9426831039705125, 0.9472156175529195, 0.9297285541091123]"
0.8760060553267421,0.8177859432405965,2334885,"[0.537200207, 0.000202396053, 9.73111649]","[0.459399438, 0.00206826235, 5.36947225]","[0.567855225, -0.000707201595, 7.78005083]","[0.520870687, 0.00210721537, 5.94360824]","[0.9579299985717118, 0.961139015769171, 0.9150155029051518]","[0.9414940452151309, 0.956296964100055, 0.9250683319506028]"
0.7801444384719363,0.4295698891041164,2335000,"[0.00776411328, -2.89576729e-05, 14.0177214]","[0.198545136, -0.000200267141, 7.69952169]","[0.129872969, -0.0005985913, 11.5447357]","[0.205267438, 0.000269964246, 9.4114946]","[0.6973765850450583, 0.8926590929621896, 0.06501862006771375]","[0.8433775077549612, 0.9439113635774417, 0.7778233857625553]"
0.8605506706243798,0.8238917388887402,2335350,"[0.535675026, 0.00120531977, 9.98380139]","[0.485672362, 0.00162658572, 5.98119191]","[0.583510932, 0.0026815588, 7.56878247]","[0.540746479, 0.002858051, 6.35984038]","[0.9683554820268921, 0.9686155259925513, 0.9287121636649348]","[0.9639583893934229, 0.9630904695977734, 0.939495592284183]"
0.8820917461783975,0.8273741023145869,2336030,"[0.464157813, 0.00542178024, 10.9566976]","[0.45760353, -0.02068842, 7.09531438]","[0.53129567, 0.02217678, 8.13325938]","[0.51238991, 0.01165221, 7.45454704]","[0.9726394431000719, 0.9724435856933167, 0.9400214631559886]","[0.9482101570230025, 0.9637514273588126, 0.961818426893073]"
0.8676834003891047,0.8340660057571517,2336120,"[0.603073289, -0.000579783175, 9.15054622]","[0.544329249, 0.00049320907, 5.16235426]","[0.647130041, -0.000193017437, 7.1504463]","[0.592850646, 0.00121553175, 5.62781695]","[0.9675027270015247, 0.9678921702399133, 0.9264537289744209]","[0.9546010158618252, 0.9686325925797769, 0.9307694002045079]"
0.8523493195220266,0.8299324703614358,2336240,"[0.632128853, -0.0016711747, 8.36794513]","[0.544120031, 0.000802786345, 5.16542964]","[0.65540339, -0.000210174309, 6.81922217]","[0.588670962, 0.00187124139, 5.48781959]","[0.9689970202280768, 0.968761908621303, 0.9217080070809883]","[0.9658561153569234, 0.9766969652017327, 0.9440844387554284]"
0.8636848729908597,0.8442197879523538,2336300,"[0.633571948, -0.00156493389, 9.33224862]","[0.547579109, 0.000296834127, 5.29031835]","[0.693355015, -0.000432544852, 6.75756292]","[0.617705482, 0.000543543434, 5.53719638]","[0.9684913743247225, 0.9683708181794987, 0.924921391247127]","[0.9738363632309687, 0.9776869035353639, 0.930148677526067]"
0.8594923202097632,0.8343436533303924,2336360,"[0.63088365, -0.000689302633, 8.65076885]","[0.538893616, 0.00187161439, 4.97184247]","[0.662226458, -0.000246194867, 6.93154495]","[0.592096923, 0.00169949535, 5.40510069]","[0.9670112290846886, 0.9689656425566852, 0.9264584949829519]","[0.9590856634378758, 0.9741684474034087, 0.9404962774309129]"
0.8636048117915768,0.8349685515634087,2336410,"[0.630177654, -0.000279344246, 8.43903265]","[0.549438288, 0.00134732032, 4.79432978]","[0.657871296, -0.00149695106, 6.9454313]","[0.593067231, 0.00205764167, 5.23163203]","[0.9658835496815259, 0.9689645535851917, 0.926381036343711]","[0.9552739330217263, 0.9724298637175915, 0.933331673684816]"
0.8502729585979002,0.8277839754065037,2336526,"[0.655949295, 0.000288177015, 7.83947707]","[0.571943813, 0.00298682803, 4.69634167]","[0.657099565, -0.000593014665, 7.1786779]","[0.60588632, 0.008714, 4.68983205]","[0.9701669320215337, 0.9683906378831078, 0.9269378626373612]","[0.9600999367498773, 0.9718549890114565, 0.9454097264922412]"
0.8687133203595226,0.83461032231294,2336728,"[0.592484881, -0.000202586155, 9.31312526]","[0.527765951, 0.0028810665, 5.12316374]","[0.64078659, -0.0054611664, 7.27745037]","[0.58398813, 0.00710931, 5.49362334]","[0.9671437905842218, 0.9675911866486778, 0.9237462176393643]","[0.9603135536280268, 0.9678098595461018, 0.9295292873414485]"
0.8866475742974318,0.8112789036795923,2337170,"[0.443852823, -0.000177295444, 12.2078616]","[0.360631789, -0.000214581252, 8.29329036]","[0.449228578, -0.000774277855, 12.4250546]","[0.449463247, -0.000107650589, 9.33055265]","[0.8700514060411594, 0.9481283129504376, 0.7814745104291575]","[0.9043554430944647, 0.9315638166855488, 0.862412905893088]"
0.90593478870694,0.8575436061833276,2397000,"[0.406255363, -0.000138369927, 15.6031076]","[0.353649856, 3.10009627e-05, 6.47688369]","[0.555372514, -0.000230800692, 10.0338966]","[0.519373775, -4.02838213e-05, 8.6408007]","[0.9523053693437765, 0.9526311187135919, 0.8963784075323461]","[0.9757945557221714, 0.9531555739829422, 0.8318573521806004]"
0.928678146079582,0.8995660452334053,12413370,"[0.26647464, -0.05471745, 10.4652135]","[0.16276437, 0.00578183, 1.96387263]","[0.35119383, -0.0075298, 4.8055048]","[0.41879496, -0.00647679, 4.68020189]","[0.9517972192332828, 0.9582860119705175, 0.9383069792819967]","[0.9632702055482534, 0.9552308189726981, 0.9412395403808145]"
0.9489519255335228,0.9239282569719128,12413445,"[0.08741851, -0.0125405, 11.03833813]","[0.086358004, -0.000665317519, 3.86332944]","[0.309926462, -0.00170066108, 4.26366792]","[0.25603681, -0.00798507691, 8.14078072]","[0.9173990984146623, 0.9451431123126266, 0.9484068767675685]","[0.9242859717141413, 0.938708119841446, 0.9741953211678214]"
0.4712661253232415,0.4404055254360993,13340000,"[0.33892671, 0.00144268, 1.38436678]","[0.116606478, -6.13407141e-07, 2.2192279]","[0.1446117, 0.00017433, 0.13697023]","[0.224309158, -3.74342202e-05, 4.05563374]","[-0.1680227757075896, -0.5565888251435795, 0.06722038800769425]","[0.27577352071070205, 0.09666311857591947, 0.4662833221055658]"
0.9036382090156482,0.9025550945742186,13340600,"[0.479987927, -0.000393807609, 8.592435]","[0.133142121, 0.000167483564, 1.64541437]","[0.389495782, -0.000251797489, 5.93371735]","[0.378305072, -3.27530947e-05, 3.34925772]","[0.928928392049289, 0.9407235434377006, 0.9465048978785808]","[0.8890708733734614, 0.9096018012397821, 0.933175375122168]"
